"X","PurchaseOrder","PurchaseOrderCreationDate","VendorKey","PlantKey","MaterialKey","MaterialPlantKey","PurchaseOrderQuantity","PlannedGoodsReceiptDate","ActualGoodsReceiptDate","PlannedArrivalDateYard","ActualArrivalDateYard","PlannedVendorShipmentDate","ActualVendorShipmentDate","GoodsDateDifference"
6004,4500006004,"2024-08-31",1001,4,1,10004,75,2024-09-23,2024-09-20,"2024-09-21","2024-09-21","2024-09-20","2024-09-20",-3
6011,4500006011,"2024-05-30",1001,4,1,10004,79,2024-06-22,2024-06-22,"2024-06-20","2024-06-20","2024-06-19","2024-06-19",0
6012,4500006012,"2023-06-14",1001,4,1,10004,71,2023-07-07,2023-07-07,"2023-07-05","2023-07-05","2023-07-04","2023-07-04",0
6013,4500006013,"2022-11-28",1001,4,1,10004,76,2022-12-21,2022-12-26,"2022-12-19","2022-12-24","2022-12-18","2022-12-23",5
6016,4500006016,"2022-11-07",1001,4,1,10004,76,2022-11-30,2022-11-30,"2022-11-28","2022-11-28","2022-11-27","2022-11-27",0
6017,4500006017,"2024-04-20",1001,4,1,10004,79,2024-05-13,2024-05-09,"2024-05-11","2024-05-11","2024-05-10","2024-05-10",-4
6018,4500006018,"2022-09-05",1001,4,1,10004,79,2022-09-28,2022-09-23,"2022-09-26","2022-09-26","2022-09-25","2022-09-25",-5
6023,4500006023,"2023-10-19",1001,4,1,10004,74,2023-11-11,2023-11-09,"2023-11-09","2023-11-09","2023-11-08","2023-11-08",-2
6029,4500006029,"2023-01-03",1001,4,1,10004,77,2023-01-26,2023-01-26,"2023-01-24","2023-01-24","2023-01-23","2023-01-23",0
6030,4500006030,"2023-04-25",1001,4,1,10004,70,2023-05-18,2023-05-17,"2023-05-16","2023-05-16","2023-05-15","2023-05-15",-1
6032,4500006032,"2022-03-06",1001,4,1,10004,84,2022-03-29,2022-03-25,"2022-03-27","2022-03-27","2022-03-26","2022-03-26",-4
6036,4500006036,"2023-10-05",1001,4,1,10004,73,2023-10-28,2023-10-28,"2023-10-26","2023-10-26","2023-10-25","2023-10-25",0
6038,4500006038,"2023-01-12",1001,4,1,10004,84,2023-02-04,2023-02-01,"2023-02-02","2023-02-02","2023-02-01","2023-02-01",-3
6041,4500006041,"2022-09-27",1001,4,1,10004,80,2022-10-20,2022-10-20,"2022-10-18","2022-10-18","2022-10-17","2022-10-17",0
6042,4500006042,"2022-01-12",1001,4,1,10004,86,2022-02-04,2022-02-02,"2022-02-02","2022-02-02","2022-02-01","2022-02-01",-2
6043,4500006043,"2023-07-16",1001,4,1,10004,81,2023-08-08,2023-08-08,"2023-08-06","2023-08-06","2023-08-05","2023-08-05",0
6044,4500006044,"2022-02-16",1001,4,1,10004,85,2022-03-11,2022-03-10,"2022-03-09","2022-03-09","2022-03-08","2022-03-08",-1
6049,4500006049,"2024-10-15",1001,4,1,10004,74,2024-11-07,2024-11-18,"2024-11-05","2024-11-16","2024-11-04","2024-11-15",11
6052,4500006052,"2024-09-11",1001,4,1,10004,80,2024-10-04,2024-10-04,"2024-10-02","2024-10-02","2024-10-01","2024-10-01",0
6053,4500006053,"2024-02-22",1001,4,1,10004,90,2024-03-16,2024-03-16,"2024-03-14","2024-03-14","2024-03-13","2024-03-13",0
6054,4500006054,"2024-01-18",1001,4,1,10004,80,2024-02-10,2024-02-09,"2024-02-08","2024-02-08","2024-02-07","2024-02-07",-1
6056,4500006056,"2022-01-04",1001,4,1,10004,75,2022-01-27,2022-01-24,"2022-01-25","2022-01-25","2022-01-24","2022-01-24",-3
6057,4500006057,"2022-05-16",1001,4,1,10004,73,2022-06-08,2022-06-21,"2022-06-06","2022-06-06","2022-06-05","2022-06-05",13
6060,4500006060,"2022-10-23",1001,4,1,10004,71,2022-11-15,2022-11-15,"2022-11-13","2022-11-13","2022-11-12","2022-11-12",0
6065,4500006065,"2024-07-31",1001,4,1,10004,69,2024-08-23,2024-08-21,"2024-08-21","2024-08-21","2024-08-20","2024-08-20",-2
6068,4500006068,"2022-10-16",1001,4,1,10004,77,2022-11-08,2022-11-17,"2022-11-06","2022-11-15","2022-11-05","2022-11-14",9
6075,4500006075,"2024-07-08",1001,4,1,10004,75,2024-07-31,2024-07-30,"2024-07-29","2024-07-29","2024-07-28","2024-07-28",-1
6076,4500006076,"2022-01-30",1001,4,1,10004,76,2022-02-22,2022-02-18,"2022-02-20","2022-02-20","2022-02-19","2022-02-19",-4
6078,4500006078,"2023-02-05",1001,4,1,10004,77,2023-02-28,2023-02-28,"2023-02-26","2023-02-26","2023-02-25","2023-02-25",0
6079,4500006079,"2022-03-14",1001,4,1,10004,76,2022-04-06,2022-04-15,"2022-04-04","2022-04-04","2022-04-03","2022-04-03",9
6088,4500006088,"2023-05-02",1001,4,1,10004,81,2023-05-25,2023-05-22,"2023-05-23","2023-05-23","2023-05-22","2023-05-22",-3
6089,4500006089,"2023-10-07",1001,4,1,10004,73,2023-10-30,2023-10-30,"2023-10-28","2023-10-28","2023-10-27","2023-10-27",0
6097,4500006097,"2024-02-05",1001,4,1,10004,74,2024-02-28,2024-02-26,"2024-02-26","2024-02-26","2024-02-25","2024-02-25",-2
6098,4500006098,"2024-04-05",1001,4,1,10004,73,2024-04-28,2024-04-28,"2024-04-26","2024-04-26","2024-04-25","2024-04-25",0
6100,4500006100,"2024-07-08",1001,4,1,10004,73,2024-07-31,2024-08-07,"2024-07-29","2024-07-29","2024-07-28","2024-07-28",7
6101,4500006101,"2024-08-23",1001,4,1,10004,81,2024-09-15,2024-09-15,"2024-09-13","2024-09-13","2024-09-12","2024-09-12",0
6105,4500006105,"2022-12-08",1001,4,1,10004,70,2022-12-31,2023-01-05,"2022-12-29","2023-01-03","2022-12-28","2023-01-02",5
6111,4500006111,"2022-02-24",1001,4,1,10004,79,2022-03-19,2022-03-19,"2022-03-17","2022-03-17","2022-03-16","2022-03-16",0
6112,4500006112,"2023-09-14",1001,4,1,10004,78,2023-10-07,2023-10-07,"2023-10-05","2023-10-05","2023-10-04","2023-10-04",0
6113,4500006113,"2022-09-22",1001,4,1,10004,83,2022-10-15,2022-10-13,"2022-10-13","2022-10-13","2022-10-12","2022-10-12",-2
6114,4500006114,"2024-03-18",1001,4,1,10004,65,2024-04-10,2024-04-09,"2024-04-08","2024-04-08","2024-04-07","2024-04-07",-1
6115,4500006115,"2024-12-05",1001,4,1,10004,79,2024-12-28,2024-12-28,"2024-12-26","2024-12-26","2024-12-25","2024-12-25",0
6117,4500006117,"2022-12-07",1001,4,1,10004,76,2022-12-30,2022-12-27,"2022-12-28","2022-12-28","2022-12-27","2022-12-27",-3
6122,4500006122,"2024-11-26",1001,4,1,10004,76,2024-12-19,2024-12-18,"2024-12-17","2024-12-17","2024-12-16","2024-12-16",-1
6124,4500006124,"2022-10-08",1001,4,1,10004,77,2022-10-31,2022-10-27,"2022-10-29","2022-10-29","2022-10-28","2022-10-28",-4
6130,4500006130,"2022-07-05",1001,4,1,10004,73,2022-07-28,2022-07-25,"2022-07-26","2022-07-26","2022-07-25","2022-07-25",-3
6131,4500006131,"2023-04-18",1001,4,1,10004,82,2023-05-11,2023-05-11,"2023-05-09","2023-05-09","2023-05-08","2023-05-08",0
6136,4500006136,"2024-11-24",1001,4,1,10004,77,2024-12-17,2024-12-13,"2024-12-15","2024-12-15","2024-12-14","2024-12-14",-4
6137,4500006137,"2023-12-24",1001,4,1,10004,78,2024-01-16,2024-01-12,"2024-01-14","2024-01-14","2024-01-13","2024-01-13",-4
6143,4500006143,"2022-06-10",1001,4,1,10004,84,2022-07-03,2022-06-29,"2022-07-01","2022-07-01","2022-06-30","2022-06-30",-4
6144,4500006144,"2022-05-23",1001,4,1,10004,77,2022-06-15,2022-06-14,"2022-06-13","2022-06-13","2022-06-12","2022-06-12",-1
6149,4500006149,"2022-03-25",1001,4,1,10004,82,2022-04-17,2022-04-13,"2022-04-15","2022-04-15","2022-04-14","2022-04-14",-4
6151,4500006151,"2023-06-19",1001,4,1,10004,79,2023-07-12,2023-07-12,"2023-07-10","2023-07-10","2023-07-09","2023-07-09",0
6153,4500006153,"2023-09-12",1001,4,1,10004,70,2023-10-05,2023-10-03,"2023-10-03","2023-10-03","2023-10-02","2023-10-02",-2
6156,4500006156,"2023-01-19",1001,4,1,10004,80,2023-02-11,2023-02-09,"2023-02-09","2023-02-09","2023-02-08","2023-02-08",-2
6162,4500006162,"2023-09-28",1001,4,1,10004,81,2023-10-21,2023-10-20,"2023-10-19","2023-10-19","2023-10-18","2023-10-18",-1
6163,4500006163,"2024-09-12",1001,4,1,10004,81,2024-10-05,2024-10-11,"2024-10-03","2024-10-09","2024-10-02","2024-10-08",6
6166,4500006166,"2024-06-01",1001,4,1,10004,71,2024-06-24,2024-06-19,"2024-06-22","2024-06-22","2024-06-21","2024-06-21",-5
6167,4500006167,"2022-12-29",1001,4,1,10004,81,2023-01-21,2023-01-26,"2023-01-19","2023-01-24","2023-01-18","2023-01-23",5
6170,4500006170,"2022-10-29",1001,4,1,10004,76,2022-11-21,2022-11-17,"2022-11-19","2022-11-19","2022-11-18","2022-11-18",-4
6171,4500006171,"2022-08-16",1001,4,1,10004,72,2022-09-08,2022-09-05,"2022-09-06","2022-09-06","2022-09-05","2022-09-05",-3
6174,4500006174,"2023-06-18",1001,4,1,10004,81,2023-07-11,2023-07-11,"2023-07-09","2023-07-09","2023-07-08","2023-07-08",0
6176,4500006176,"2024-04-03",1001,4,1,10004,77,2024-04-26,2024-04-30,"2024-04-24","2024-04-28","2024-04-23","2024-04-27",4
6179,4500006179,"2022-02-05",1001,4,1,10004,79,2022-02-28,2022-03-08,"2022-02-26","2022-03-06","2022-02-25","2022-03-05",8
6181,4500006181,"2024-03-13",1001,4,1,10004,78,2024-04-05,2024-04-03,"2024-04-03","2024-04-03","2024-04-02","2024-04-02",-2
6184,4500006184,"2022-09-17",1001,4,1,10004,76,2022-10-10,2022-10-07,"2022-10-08","2022-10-08","2022-10-07","2022-10-07",-3
6185,4500006185,"2024-10-02",1001,4,1,10004,83,2024-10-25,2024-10-24,"2024-10-23","2024-10-23","2024-10-22","2024-10-22",-1
6187,4500006187,"2024-08-04",1001,4,1,10004,73,2024-08-27,2024-09-06,"2024-08-25","2024-09-04","2024-08-24","2024-09-03",10
6190,4500006190,"2022-12-25",1001,4,1,10004,75,2023-01-17,2023-01-16,"2023-01-15","2023-01-15","2023-01-14","2023-01-14",-1
6191,4500006191,"2023-09-04",1001,4,1,10004,80,2023-09-27,2023-09-26,"2023-09-25","2023-09-25","2023-09-24","2023-09-24",-1
6192,4500006192,"2024-08-27",1001,4,1,10004,83,2024-09-19,2024-09-17,"2024-09-17","2024-09-17","2024-09-16","2024-09-16",-2
6194,4500006194,"2022-10-18",1001,4,1,10004,80,2022-11-10,2022-11-09,"2022-11-08","2022-11-08","2022-11-07","2022-11-07",-1
6197,4500006197,"2023-11-15",1001,4,1,10004,77,2023-12-08,2023-12-05,"2023-12-06","2023-12-06","2023-12-05","2023-12-05",-3
6198,4500006198,"2024-07-03",1001,4,1,10004,73,2024-07-26,2024-07-23,"2024-07-24","2024-07-24","2024-07-23","2024-07-23",-3
6200,4500006200,"2022-11-16",1001,4,1,10004,75,2022-12-09,2022-12-07,"2022-12-07","2022-12-07","2022-12-06","2022-12-06",-2
6202,4500006202,"2023-05-09",1001,4,1,10004,82,2023-06-01,2023-06-06,"2023-05-30","2023-06-04","2023-05-29","2023-06-03",5
6204,4500006204,"2023-03-24",1001,4,1,10004,77,2023-04-16,2023-04-12,"2023-04-14","2023-04-14","2023-04-13","2023-04-13",-4
6209,4500006209,"2024-01-09",1001,4,1,10004,78,2024-02-01,2024-01-31,"2024-01-30","2024-01-30","2024-01-29","2024-01-29",-1
6210,4500006210,"2024-09-22",1001,4,1,10004,66,2024-10-15,2024-10-21,"2024-10-13","2024-10-19","2024-10-12","2024-10-18",6
6212,4500006212,"2024-08-09",1001,4,1,10004,88,2024-09-01,2024-08-30,"2024-08-30","2024-08-30","2024-08-29","2024-08-29",-2
6213,4500006213,"2022-01-02",1001,4,1,10004,88,2022-01-25,2022-01-28,"2022-01-23","2022-01-26","2022-01-22","2022-01-22",3
6214,4500006214,"2023-10-08",1001,4,1,10004,80,2023-10-31,2023-10-30,"2023-10-29","2023-10-29","2023-10-28","2023-10-28",-1
6216,4500006216,"2024-10-14",1001,4,1,10004,86,2024-11-06,2024-11-19,"2024-11-04","2024-11-17","2024-11-03","2024-11-16",13
6220,4500006220,"2024-06-08",1001,4,1,10004,94,2024-07-01,2024-06-28,"2024-06-29","2024-06-29","2024-06-28","2024-06-28",-3
6221,4500006221,"2022-11-30",1001,4,1,10004,73,2022-12-23,2022-12-23,"2022-12-21","2022-12-21","2022-12-20","2022-12-20",0
6222,4500006222,"2022-10-22",1001,4,1,10004,67,2022-11-14,2022-11-14,"2022-11-12","2022-11-12","2022-11-11","2022-11-11",0
6224,4500006224,"2023-01-30",1001,4,1,10004,72,2023-02-22,2023-02-22,"2023-02-20","2023-02-20","2023-02-19","2023-02-19",0
6235,4500006235,"2023-06-20",1001,4,1,10004,71,2023-07-13,2023-07-10,"2023-07-11","2023-07-11","2023-07-10","2023-07-10",-3
6238,4500006238,"2022-03-24",1001,4,1,10004,73,2022-04-16,2022-04-15,"2022-04-14","2022-04-14","2022-04-13","2022-04-13",-1
6243,4500006243,"2023-03-30",1001,4,1,10004,74,2023-04-22,2023-04-20,"2023-04-20","2023-04-20","2023-04-19","2023-04-19",-2
6247,4500006247,"2022-04-10",1001,4,1,10004,73,2022-05-03,2022-05-11,"2022-05-01","2022-05-09","2022-04-30","2022-05-08",8
6251,4500006251,"2023-05-02",1001,4,1,10004,80,2023-05-25,2023-05-25,"2023-05-23","2023-05-23","2023-05-22","2023-05-22",0
6252,4500006252,"2022-04-03",1001,4,1,10004,87,2022-04-26,2022-04-26,"2022-04-24","2022-04-24","2022-04-23","2022-04-23",0
6253,4500006253,"2022-05-17",1001,4,1,10004,73,2022-06-09,2022-06-08,"2022-06-07","2022-06-07","2022-06-06","2022-06-06",-1
6254,4500006254,"2023-07-06",1001,4,1,10004,77,2023-07-29,2023-07-26,"2023-07-27","2023-07-27","2023-07-26","2023-07-26",-3
6255,4500006255,"2023-04-17",1001,4,1,10004,75,2023-05-10,2023-05-05,"2023-05-08","2023-05-08","2023-05-07","2023-05-07",-5
6262,4500006262,"2021-12-10",1001,4,1,10004,73,2022-01-02,2021-12-30,"2021-12-31","2021-12-31","2021-12-30","2021-12-30",-3
6263,4500006263,"2023-11-06",1001,4,1,10004,89,2023-11-29,2023-11-24,"2023-11-27","2023-11-27","2023-11-26","2023-11-26",-5
6264,4500006264,"2022-02-14",1001,4,1,10004,66,2022-03-09,2022-03-18,"2022-03-07","2022-03-07","2022-03-06","2022-03-06",9
6265,4500006265,"2024-11-28",1001,4,1,10004,65,2024-12-21,2024-12-19,"2024-12-19","2024-12-19","2024-12-18","2024-12-18",-2
6267,4500006267,"2024-05-14",1001,4,1,10004,74,2024-06-06,2024-06-03,"2024-06-04","2024-06-04","2024-06-03","2024-06-03",-3
6269,4500006269,"2023-01-28",1001,4,1,10004,83,2023-02-20,2023-02-15,"2023-02-18","2023-02-18","2023-02-17","2023-02-17",-5
6272,4500006272,"2024-09-08",1001,4,1,10004,84,2024-10-01,2024-09-27,"2024-09-29","2024-09-29","2024-09-28","2024-09-28",-4
6277,4500006277,"2023-08-17",1001,4,1,10004,76,2023-09-09,2023-09-21,"2023-09-07","2023-09-19","2023-09-06","2023-09-18",12
6280,4500006280,"2023-05-26",1001,4,1,10004,82,2023-06-18,2023-06-16,"2023-06-16","2023-06-16","2023-06-15","2023-06-15",-2
6281,4500006281,"2023-07-26",1001,4,1,10004,74,2023-08-18,2023-08-17,"2023-08-16","2023-08-16","2023-08-15","2023-08-15",-1
6293,4500006293,"2024-10-23",1001,4,1,10004,70,2024-11-15,2024-11-15,"2024-11-13","2024-11-13","2024-11-12","2024-11-12",0
6294,4500006294,"2024-01-02",1001,4,1,10004,83,2024-01-25,2024-01-23,"2024-01-23","2024-01-23","2024-01-22","2024-01-22",-2
6298,4500006298,"2024-07-07",1001,4,1,10004,67,2024-07-30,2024-07-25,"2024-07-28","2024-07-28","2024-07-27","2024-07-27",-5
6301,4500006301,"2022-04-08",1001,4,1,10004,79,2022-05-01,2022-04-29,"2022-04-29","2022-04-29","2022-04-28","2022-04-28",-2
6302,4500006302,"2024-10-18",1001,4,1,10004,68,2024-11-10,2024-11-07,"2024-11-08","2024-11-08","2024-11-07","2024-11-07",-3
6303,4500006303,"2022-02-22",1001,4,1,10004,75,2022-03-17,2022-03-15,"2022-03-15","2022-03-15","2022-03-14","2022-03-14",-2
6306,4500006306,"2022-11-03",1001,4,1,10004,82,2022-11-26,2022-11-26,"2022-11-24","2022-11-24","2022-11-23","2022-11-23",0
6307,4500006307,"2023-12-02",1001,4,1,10004,80,2023-12-25,2023-12-20,"2023-12-23","2023-12-23","2023-12-22","2023-12-22",-5
6311,4500006311,"2022-12-10",1001,4,1,10004,81,2023-01-02,2023-01-02,"2022-12-31","2022-12-31","2022-12-30","2022-12-30",0
6312,4500006312,"2023-06-16",1001,4,1,10004,75,2023-07-09,2023-07-09,"2023-07-07","2023-07-07","2023-07-06","2023-07-06",0
6313,4500006313,"2022-12-13",1001,4,1,10004,78,2023-01-05,2023-01-04,"2023-01-03","2023-01-03","2023-01-02","2023-01-02",-1
6318,4500006318,"2024-11-09",1001,4,1,10004,76,2024-12-02,2024-11-27,"2024-11-30","2024-11-30","2024-11-29","2024-11-29",-5
6319,4500006319,"2023-10-20",1001,4,1,10004,78,2023-11-12,2023-11-09,"2023-11-10","2023-11-10","2023-11-09","2023-11-09",-3
6330,4500006330,"2024-03-08",1001,4,1,10004,76,2024-03-31,2024-03-31,"2024-03-29","2024-03-29","2024-03-28","2024-03-28",0
6336,4500006336,"2022-01-09",1001,4,1,10004,66,2022-02-01,2022-01-28,"2022-01-30","2022-01-30","2022-01-29","2022-01-29",-4
6340,4500006340,"2022-06-24",1001,4,1,10004,83,2022-07-17,2022-07-14,"2022-07-15","2022-07-15","2022-07-14","2022-07-14",-3
6345,4500006345,"2022-01-02",1001,4,1,10004,77,2022-01-25,2022-01-27,"2022-01-23","2022-01-25","2022-01-22","2022-01-24",2
6348,4500006348,"2023-09-16",1001,4,1,10004,88,2023-10-09,2023-10-06,"2023-10-07","2023-10-07","2023-10-06","2023-10-06",-3
6349,4500006349,"2022-10-07",1001,4,1,10004,73,2022-10-30,2022-10-26,"2022-10-28","2022-10-28","2022-10-27","2022-10-27",-4
6351,4500006351,"2024-05-26",1001,4,1,10004,78,2024-06-18,2024-06-17,"2024-06-16","2024-06-16","2024-06-15","2024-06-15",-1
6352,4500006352,"2022-02-07",1001,4,1,10004,71,2022-03-02,2022-02-28,"2022-02-28","2022-02-28","2022-02-27","2022-02-27",-2
6355,4500006355,"2023-02-18",1001,4,1,10004,83,2023-03-13,2023-03-09,"2023-03-11","2023-03-11","2023-03-10","2023-03-10",-4
6359,4500006359,"2023-08-08",1001,4,1,10004,83,2023-08-31,2023-08-28,"2023-08-29","2023-08-29","2023-08-28","2023-08-28",-3
6365,4500006365,"2024-02-14",1001,4,1,10004,84,2024-03-08,2024-03-18,"2024-03-06","2024-03-16","2024-03-05","2024-03-15",10
6367,4500006367,"2022-08-20",1001,4,1,10004,73,2022-09-12,2022-09-09,"2022-09-10","2022-09-10","2022-09-09","2022-09-09",-3
6371,4500006371,"2024-09-03",1001,4,1,10004,69,2024-09-26,2024-09-26,"2024-09-24","2024-09-24","2024-09-23","2024-09-23",0
6372,4500006372,"2022-01-29",1001,4,1,10004,85,2022-02-21,2022-02-18,"2022-02-19","2022-02-19","2022-02-18","2022-02-18",-3
6373,4500006373,"2022-05-26",1001,4,1,10004,74,2022-06-18,2022-06-17,"2022-06-16","2022-06-16","2022-06-15","2022-06-15",-1
6374,4500006374,"2022-01-03",1001,4,1,10004,78,2022-01-26,2022-01-26,"2022-01-24","2022-01-24","2022-01-23","2022-01-23",0
6378,4500006378,"2024-02-01",1001,4,1,10004,91,2024-02-24,2024-02-23,"2024-02-22","2024-02-22","2024-02-21","2024-02-21",-1
6381,4500006381,"2023-03-19",1001,4,1,10004,72,2023-04-11,2023-04-10,"2023-04-09","2023-04-09","2023-04-08","2023-04-08",-1
6382,4500006382,"2023-05-04",1001,4,1,10004,76,2023-05-27,2023-05-24,"2023-05-25","2023-05-25","2023-05-24","2023-05-24",-3
6396,4500006396,"2022-01-13",1001,4,1,10004,78,2022-02-05,2022-02-05,"2022-02-03","2022-02-03","2022-02-02","2022-02-02",0
6400,4500006400,"2024-08-04",1001,4,1,10004,76,2024-08-27,2024-09-02,"2024-08-25","2024-08-31","2024-08-24","2024-08-24",6
6404,4500006404,"2024-08-02",1001,4,1,10004,76,2024-08-25,2024-09-03,"2024-08-23","2024-09-01","2024-08-22","2024-08-31",9
6406,4500006406,"2024-09-19",1001,4,1,10004,70,2024-10-12,2024-10-17,"2024-10-10","2024-10-10","2024-10-09","2024-10-09",5
6407,4500006407,"2024-10-19",1001,4,1,10004,84,2024-11-11,2024-11-07,"2024-11-09","2024-11-09","2024-11-08","2024-11-08",-4
6409,4500006409,"2022-02-20",1001,4,1,10004,76,2022-03-15,2022-03-11,"2022-03-13","2022-03-13","2022-03-12","2022-03-12",-4
6410,4500006410,"2022-05-27",1001,4,1,10004,74,2022-06-19,2022-06-19,"2022-06-17","2022-06-17","2022-06-16","2022-06-16",0
6411,4500006411,"2022-08-19",1001,4,1,10004,89,2022-09-11,2022-09-07,"2022-09-09","2022-09-09","2022-09-08","2022-09-08",-4
6414,4500006414,"2023-10-29",1001,4,1,10004,70,2023-11-21,2023-11-17,"2023-11-19","2023-11-19","2023-11-18","2023-11-18",-4
6415,4500006415,"2022-06-20",1001,4,1,10004,80,2022-07-13,2022-07-12,"2022-07-11","2022-07-11","2022-07-10","2022-07-10",-1
6416,4500006416,"2022-12-01",1001,4,1,10004,76,2022-12-24,2022-12-22,"2022-12-22","2022-12-22","2022-12-21","2022-12-21",-2
6417,4500006417,"2022-08-05",1001,4,1,10004,82,2022-08-28,2022-09-06,"2022-08-26","2022-09-04","2022-08-25","2022-08-25",9
6418,4500006418,"2024-03-11",1001,4,1,10004,72,2024-04-03,2024-04-11,"2024-04-01","2024-04-09","2024-03-31","2024-04-08",8
6427,4500006427,"2023-08-20",1001,4,1,10004,80,2023-09-12,2023-09-25,"2023-09-10","2023-09-23","2023-09-09","2023-09-22",13
6431,4500006431,"2024-05-04",1001,4,1,10004,76,2024-05-27,2024-05-23,"2024-05-25","2024-05-25","2024-05-24","2024-05-24",-4
6433,4500006433,"2023-09-18",1001,4,1,10004,80,2023-10-11,2023-10-10,"2023-10-09","2023-10-09","2023-10-08","2023-10-08",-1
6434,4500006434,"2024-05-18",1001,4,1,10004,78,2024-06-10,2024-06-05,"2024-06-08","2024-06-08","2024-06-07","2024-06-07",-5
6438,4500006438,"2024-01-27",1001,4,1,10004,76,2024-02-19,2024-02-16,"2024-02-17","2024-02-17","2024-02-16","2024-02-16",-3
6442,4500006442,"2023-06-06",1001,4,1,10004,80,2023-06-29,2023-06-26,"2023-06-27","2023-06-27","2023-06-26","2023-06-26",-3
6443,4500006443,"2022-04-08",1001,4,1,10004,89,2022-05-01,2022-04-27,"2022-04-29","2022-04-29","2022-04-28","2022-04-28",-4
6444,4500006444,"2022-11-02",1001,4,1,10004,72,2022-11-25,2022-11-23,"2022-11-23","2022-11-23","2022-11-22","2022-11-22",-2
6445,4500006445,"2023-05-07",1001,4,1,10004,76,2023-05-30,2023-06-07,"2023-05-28","2023-06-05","2023-05-27","2023-05-27",8
6446,4500006446,"2023-10-15",1001,4,1,10004,73,2023-11-07,2023-11-17,"2023-11-05","2023-11-15","2023-11-04","2023-11-14",10
6449,4500006449,"2023-05-01",1001,4,1,10004,86,2023-05-24,2023-05-23,"2023-05-22","2023-05-22","2023-05-21","2023-05-21",-1
6451,4500006451,"2021-12-16",1001,4,1,10004,77,2022-01-08,2022-01-07,"2022-01-06","2022-01-06","2022-01-05","2022-01-05",-1
6469,4500006469,"2024-07-29",1001,4,1,10004,80,2024-08-21,2024-08-19,"2024-08-19","2024-08-19","2024-08-18","2024-08-18",-2
6474,4500006474,"2023-06-14",1001,4,1,10004,79,2023-07-07,2023-07-04,"2023-07-05","2023-07-05","2023-07-04","2023-07-04",-3
6475,4500006475,"2023-07-30",1001,4,1,10004,75,2023-08-22,2023-08-17,"2023-08-20","2023-08-20","2023-08-19","2023-08-19",-5
6478,4500006478,"2023-04-06",1001,4,1,10004,75,2023-04-29,2023-04-29,"2023-04-27","2023-04-27","2023-04-26","2023-04-26",0
6479,4500006479,"2022-03-10",1001,4,1,10004,77,2022-04-02,2022-04-02,"2022-03-31","2022-03-31","2022-03-30","2022-03-30",0
6482,4500006482,"2023-09-20",1001,4,1,10004,72,2023-10-13,2023-10-13,"2023-10-11","2023-10-11","2023-10-10","2023-10-10",0
6484,4500006484,"2022-11-12",1001,4,1,10004,83,2022-12-05,2022-12-01,"2022-12-03","2022-12-03","2022-12-02","2022-12-02",-4
6488,4500006488,"2021-12-14",1001,4,1,10004,83,2022-01-06,2022-01-06,"2022-01-04","2022-01-04","2022-01-03","2022-01-03",0
6491,4500006491,"2022-01-26",1001,4,1,10004,72,2022-02-18,2022-02-15,"2022-02-16","2022-02-16","2022-02-15","2022-02-15",-3
6494,4500006494,"2023-04-28",1001,4,1,10004,79,2023-05-21,2023-05-19,"2023-05-19","2023-05-19","2023-05-18","2023-05-18",-2
6495,4500006495,"2024-07-27",1001,4,1,10004,64,2024-08-19,2024-08-19,"2024-08-17","2024-08-17","2024-08-16","2024-08-16",0
6496,4500006496,"2023-08-06",1001,4,1,10004,70,2023-08-29,2023-08-25,"2023-08-27","2023-08-27","2023-08-26","2023-08-26",-4
6497,4500006497,"2023-07-29",1001,4,1,10004,82,2023-08-21,2023-08-17,"2023-08-19","2023-08-19","2023-08-18","2023-08-18",-4
6502,4500006502,"2023-12-14",1001,4,1,10004,75,2024-01-06,2024-01-05,"2024-01-04","2024-01-04","2024-01-03","2024-01-03",-1
6504,4500006504,"2022-02-03",1001,4,1,10004,64,2022-02-26,2022-02-25,"2022-02-24","2022-02-24","2022-02-23","2022-02-23",-1
6505,4500006505,"2023-01-13",1001,4,1,10004,81,2023-02-05,2023-02-02,"2023-02-03","2023-02-03","2023-02-02","2023-02-02",-3
6507,4500006507,"2024-10-19",1001,4,1,10004,85,2024-11-11,2024-11-11,"2024-11-09","2024-11-09","2024-11-08","2024-11-08",0
6508,4500006508,"2024-11-22",1001,4,1,10004,75,2024-12-15,2024-12-13,"2024-12-13","2024-12-13","2024-12-12","2024-12-12",-2
6512,4500006512,"2022-11-07",1001,4,1,10004,74,2022-11-30,2022-11-30,"2022-11-28","2022-11-28","2022-11-27","2022-11-27",0
6514,4500006514,"2024-03-31",1001,4,1,10004,74,2024-04-23,2024-04-23,"2024-04-21","2024-04-21","2024-04-20","2024-04-20",0
6523,4500006523,"2024-10-23",1001,4,1,10004,83,2024-11-15,2024-11-15,"2024-11-13","2024-11-13","2024-11-12","2024-11-12",0
6530,4500006530,"2023-01-10",1001,4,1,10004,75,2023-02-02,2023-01-30,"2023-01-31","2023-01-31","2023-01-30","2023-01-30",-3
6535,4500006535,"2024-09-24",1001,4,1,10004,81,2024-10-17,2024-10-18,"2024-10-15","2024-10-15","2024-10-14","2024-10-14",1
6537,4500006537,"2024-04-18",1001,4,1,10004,78,2024-05-11,2024-05-08,"2024-05-09","2024-05-09","2024-05-08","2024-05-08",-3
6539,4500006539,"2024-09-04",1001,4,1,10004,80,2024-09-27,2024-10-08,"2024-09-25","2024-10-06","2024-09-24","2024-10-05",11
